LineDescription,TimePeriod,TableName,SeriesCode,LineNumber,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
Accessories and parts,2007-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4935833333333335,U20406
Accessories and parts,2007-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.50825,U20406
Accessories and parts,2007-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5390833333333336,U20406
Accessories and parts,2007-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5216666666666665,U20406
Accessories and parts,2007-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5571666666666664,U20406
Accessories and parts,2007-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4995833333333333,U20406
Accessories and parts,2007-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4979166666666663,U20406
Accessories and parts,2007-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.55175,U20406
Accessories and parts,2007-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5836666666666663,U20406
Accessories and parts,2007-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5831666666666666,U20406
Accessories and parts,2007-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5150833333333336,U20406
Accessories and parts,2007-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4248333333333334,U20406
Accessories and parts,2008-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.38075,U20406
Accessories and parts,2008-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.34675,U20406
Accessories and parts,2008-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3185833333333337,U20406
Accessories and parts,2008-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.30325,U20406
Accessories and parts,2008-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.294,U20406
Accessories and parts,2008-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2495833333333333,U20406
Accessories and parts,2008-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2020833333333334,U20406
Accessories and parts,2008-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1074166666666665,U20406
Accessories and parts,2008-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.06425,U20406
Accessories and parts,2008-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9246666666666665,U20406
Accessories and parts,2008-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.8891666666666667,U20406
Accessories and parts,2008-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.8475833333333336,U20406
Accessories and parts,2009-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.88925,U20406
Accessories and parts,2009-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.8433333333333333,U20406
Accessories and parts,2009-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.77725,U20406
Accessories and parts,2009-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.786,U20406
Accessories and parts,2009-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.7999166666666664,U20406
Accessories and parts,2009-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.8306666666666667,U20406
Accessories and parts,2009-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.8374166666666665,U20406
Accessories and parts,2009-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9158333333333335,U20406
Accessories and parts,2009-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.7196666666666665,U20406
Accessories and parts,2009-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.7993333333333337,U20406
Accessories and parts,2009-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.7944166666666663,U20406
Accessories and parts,2009-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.7725833333333334,U20406
Accessories and parts,2010-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.77425,U20406
Accessories and parts,2010-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.7775,U20406
Accessories and parts,2010-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9218333333333333,U20406
Accessories and parts,2010-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9376666666666664,U20406
Accessories and parts,2010-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9133333333333336,U20406
Accessories and parts,2010-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.89725,U20406
Accessories and parts,2010-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9194166666666663,U20406
Accessories and parts,2010-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.959,U20406
Accessories and parts,2010-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,2.9648333333333334,U20406
Accessories and parts,2010-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0129166666666665,U20406
Accessories and parts,2010-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0268333333333333,U20406
Accessories and parts,2010-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0515,U20406
Accessories and parts,2011-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0134166666666666,U20406
Accessories and parts,2011-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0311666666666666,U20406
Accessories and parts,2011-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0548333333333333,U20406
Accessories and parts,2011-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.04125,U20406
Accessories and parts,2011-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.005,U20406
Accessories and parts,2011-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0445,U20406
Accessories and parts,2011-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0384166666666665,U20406
Accessories and parts,2011-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0525833333333336,U20406
Accessories and parts,2011-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0759166666666666,U20406
Accessories and parts,2011-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.09575,U20406
Accessories and parts,2011-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0995,U20406
Accessories and parts,2011-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1154166666666665,U20406
Accessories and parts,2012-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1441666666666666,U20406
Accessories and parts,2012-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1359166666666667,U20406
Accessories and parts,2012-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1233333333333335,U20406
Accessories and parts,2012-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.103,U20406
Accessories and parts,2012-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0895833333333336,U20406
Accessories and parts,2012-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0848333333333335,U20406
Accessories and parts,2012-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0775,U20406
Accessories and parts,2012-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.06275,U20406
Accessories and parts,2012-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1149166666666663,U20406
Accessories and parts,2012-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0984166666666666,U20406
Accessories and parts,2012-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.0941666666666667,U20406
Accessories and parts,2012-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1160833333333335,U20406
Accessories and parts,2013-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.146,U20406
Accessories and parts,2013-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2031666666666667,U20406
Accessories and parts,2013-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1545,U20406
Accessories and parts,2013-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.1839166666666667,U20406
Accessories and parts,2013-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2170833333333335,U20406
Accessories and parts,2013-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.259,U20406
Accessories and parts,2013-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2623333333333333,U20406
Accessories and parts,2013-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2705,U20406
Accessories and parts,2013-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.25725,U20406
Accessories and parts,2013-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3054166666666664,U20406
Accessories and parts,2013-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3351666666666664,U20406
Accessories and parts,2013-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3621666666666665,U20406
Accessories and parts,2014-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.2904166666666663,U20406
Accessories and parts,2014-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3240833333333333,U20406
Accessories and parts,2014-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.3950833333333335,U20406
Accessories and parts,2014-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4220833333333336,U20406
Accessories and parts,2014-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4205,U20406
Accessories and parts,2014-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.38975,U20406
Accessories and parts,2014-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.394,U20406
Accessories and parts,2014-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4389166666666666,U20406
Accessories and parts,2014-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4009166666666664,U20406
Accessories and parts,2014-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4345,U20406
Accessories and parts,2014-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5325,U20406
Accessories and parts,2014-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4208333333333334,U20406
Accessories and parts,2015-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5068333333333337,U20406
Accessories and parts,2015-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.4975,U20406
Accessories and parts,2015-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.5949166666666663,U20406
Accessories and parts,2015-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.63425,U20406
Accessories and parts,2015-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.6536666666666666,U20406
Accessories and parts,2015-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.6785833333333335,U20406
Accessories and parts,2015-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.6965833333333333,U20406
Accessories and parts,2015-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.71725,U20406
Accessories and parts,2015-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.6991666666666667,U20406
Accessories and parts,2015-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.745,U20406
Accessories and parts,2015-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.7585,U20406
Accessories and parts,2015-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.7258333333333336,U20406
Accessories and parts,2016-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.7710833333333333,U20406
Accessories and parts,2016-02-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8175833333333333,U20406
Accessories and parts,2016-03-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.7885,U20406
Accessories and parts,2016-04-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.761,U20406
Accessories and parts,2016-05-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8130833333333336,U20406
Accessories and parts,2016-06-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.83575,U20406
Accessories and parts,2016-07-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8350833333333334,U20406
Accessories and parts,2016-08-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.8761666666666663,U20406
Accessories and parts,2016-09-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9034166666666663,U20406
Accessories and parts,2016-10-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9139166666666667,U20406
Accessories and parts,2016-11-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9140833333333336,U20406
Accessories and parts,2016-12-01,U20406,DPAARX,22,Chained Dollars,Level,6,4.037416666666666,U20406
Accessories and parts,2017-01-01,U20406,DPAARX,22,Chained Dollars,Level,6,3.9844166666666667,U20406
