cattype,BEA Category,BEA Category Full,coefname,agg_level,
nipa,Vehicle Parts,Vehicle accessories and parts,acces_parts,4,
nipa,Tax Services,      Tax preparation and other related services,accounting,4,
nipa,Air,      Air transportation ,air,4,
nipa,Alcohol (restaurants),      Alcohol in purchased meals,alcaway,4,
nipa,Alcohol (home),Alcoholic beverages purchased for off-premises consumption,alchome,4,
nipa,Amusement parks and other,"      Amusement parks, campgrounds, and related  recreational services",amusement,4,
nipa,Repair of appliances,      Repair of household appliances,app_repair,4,
nipa,      Audio equipment,      Audio equipment,audio_equip,4,
nipa,Purchased music,"      Prerecorded and blank audio discs/tapes/
       digital files/downloads",audio_record,4,
nipa,Net vehicle insurance,      Net motor vehicle and other transportation insurance,auto_insur,4,
nipa,      Motor vehicle maintenance ,      Motor vehicle maintenance and repair,auto_repair,4,
nipa,      Bicycles and accessories,      Bicycles and accessories,bicycles,4,
nipa,      Pleasure boats,      Pleasure boats,boats,4,
nipa,      Intercity buses,      Intercity buses,bus,4,
nipa,      Cable or satellite television and radio ,      Cable and satellite television and radio services,cable,4,
nipa,Info process equip.,"      Calculators, typewriters, and other information
       processing equipment",calculator,4,
nipa,Motor vehicle leasing,      Motor vehicle leasing,car_lease,4,
nipa, Motor vehicle rental,      Motor vehicle rental,car_rental,4,
nipa,Floor coverings,      Carpets and other floor coverings,carpets,4,
nipa,      Other transportation service,      Other road transportation service,carpool,4,
nipa,Cell service,      Cellular telephone services,cell_service,4,
nipa,      Social and civic organizations,      Social advocacy and civic and social organizations,charity,4,
nipa,      Children's clothing,      Children's and infants' clothing,child_cloth,4,
nipa,      Child care,      Child care,childcare,4,
nipa,Lighting and Decorative items,"      Clocks, lamps, lighting fixtures, and other household  decorative items",clock,4,
nipa,"      Clothing repair, rental, and alterations","      Clothing repair, rental, and alterations",cloth_repair,4,
nipa,      Higher education ,      Higher education ,college_tuition,4,
nipa,      Personal computers and equipment,      Personal computers and peripheral equipment,computer_equip,4,
nipa,Cosmetics, Cosmetic/perfumes/bath/nail preparations and implements,cosmetic,4,
nipa,Dental,      Dental services,dental_service,4,
nipa,Dishes/flatware,      Dishes and flatware,dishes,4,
nipa,Domestic services,      Domestic services,dom_service,4,
nipa,      Physician services,      Physician services,dr_service,4,
