month,nstockprice,recession,gz_spr,ebp,npgas,rvfactor,umcsent_cargas
1959,55.62,0,,,7.342,1,0
1959.083333,54.77,0,,,7.536,1,0
1959.166667,56.16,0,,,7.503,1,0
1959.25,57.10,0,,,7.6,1,0
1959.333333,57.96,0,,,7.568,1,0
1959.416667,57.46,0,,,7.568,1,0
1959.5,59.74,0,,,7.536,1,0
1959.583333,59.40,0,,,7.729,1,0
1959.666667,57.05,0,,,7.665,1,0
1959.75,57.00,0,,,7.89,1,0
1959.833333,57.23,0,,,7.89,1,0
1959.916667,59.06,0,,,7.89,1,0
1960,58.03,0,,,7.793,1,0
1960.083333,55.78,0,,,7.761,1,0
1960.166667,55.02,0,,,7.729,1,0
1960.25,55.73,0,,,7.761,1,0
1960.333333,55.22,1,,,7.729,1,0
1960.416667,57.26,1,,,7.793,1,0
1960.5,55.84,1,,,7.89,1,0
1960.583333,56.51,1,,,8.019,1,0
1960.666667,54.81,1,,,7.987,1,0
1960.75,53.73,1,,,7.89,1,0
1960.833333,55.47,1,,,8.051,1,0
1960.916667,56.80,1,,,7.987,1,0
1961,59.72,1,,,7.987,1,0
1961.083333,62.17,1,,,7.922,1,0
1961.166667,64.12,0,,,7.793,1,0
1961.25,65.83,0,,,7.536,1,0
1961.333333,66.50,0,,,7.632,1,0
1961.416667,65.62,0,,,7.664,1,0
1961.5,65.44,0,,,7.761,1,0
1961.583333,67.79,0,,,7.858,1,0
1961.666667,67.26,0,,,7.89,1,0
1961.75,68.00,0,,,7.793,1,0
1961.833333,71.08,0,,,7.858,1,0
1961.916667,71.74,0,,,7.697,1,0
1962,69.07,0,,,7.729,1,0
1962.083333,70.22,0,,,7.858,1,0
1962.166667,70.29,0,,,7.664,1,0
1962.25,68.05,0,,,7.89,1,0
1962.333333,62.99,0,,,7.858,1,0
1962.416667,55.63,0,,,7.729,1,0
1962.5,56.97,0,,,7.568,1,0
1962.583333,58.52,0,,,7.729,1,0
1962.666667,58.00,0,,,8.019,1,0
1962.75,56.17,0,,,7.954,1,0
1962.833333,60.04,0,,,7.922,1,0
1962.916667,62.64,0,,,8.019,1,0
1963,65.06,0,,,7.922,1,0
1963.083333,65.92,0,,,7.922,1,0
1963.166667,65.67,0,,,7.793,1,0
1963.25,68.76,0,,,7.729,1,0
1963.333333,70.14,0,,,7.793,1,0
1963.416667,70.11,0,,,7.632,1,0
1963.5,69.07,0,,,7.793,1,0
1963.583333,70.98,0,,,7.954,1,0
1963.666667,72.85,0,,,7.729,1,0
1963.75,73.03,0,,,7.825,1,0
1963.833333,72.62,0,,,7.761,1,0
1963.916667,74.17,0,,,7.825,1,0
1964,76.45,0,,,7.793,1,0
1964.083333,77.39,0,,,7.793,1,0
1964.166667,78.80,0,,,7.761,1,0
1964.25,79.94,0,,,7.761,1,0
1964.333333,80.72,0,,,7.697,1,0
1964.416667,80.24,0,,,7.697,1,0
1964.5,83.22,0,,,7.697,1,0
1964.583333,82.00,0,,,7.697,1,0
1964.666667,83.41,0,,,7.729,1,0
1964.75,84.85,0,,,7.761,1,0
1964.833333,85.44,0,,,7.793,1,0
1964.916667,83.96,0,,,7.825,1,0
1965,86.12,0,,,7.922,1,0
1965.083333,86.75,0,,,7.922,1,0
1965.166667,86.83,0,,,7.987,1,0
1965.25,87.97,0,,,8.019,1,0
1965.333333,89.28,0,,,8.019,1,0
1965.416667,85.04,0,,,8.083,1,0
1965.5,84.91,0,,,8.083,1,0
1965.583333,86.49,0,,,8.051,1,0
1965.666667,89.38,0,,,8.083,1,0
1965.75,91.39,0,,,8.115,1,0
1965.833333,92.15,0,,,8.115,1,0
1965.916667,91.73,0,,,8.148,1,0
1966,93.32,0,,,8.148,1,0
1966.083333,92.69,0,,,8.115,1,0
1966.166667,88.88,0,,,8.115,1,0
1966.25,91.60,0,,,8.115,1,0
1966.333333,86.78,0,,,8.148,1,0
1966.416667,86.06,0,,,8.148,1,0
1966.5,85.84,0,,,8.212,1,0
1966.583333,80.65,0,,,8.244,1,0
1966.666667,77.81,0,,,8.341,1,0
1966.75,77.13,0,,,8.373,1,0
1966.833333,80.99,0,,,8.405,1,0
1966.916667,81.33,0,,,8.405,1,0
1967,84.45,0,,,8.437,1,0
1967.083333,87.36,0,,,8.437,1,0
1967.166667,89.42,0,,,8.405,1,0
1967.25,90.96,0,,,8.502,1,0
1967.333333,92.59,0,,,8.502,1,0
1967.416667,91.43,0,,,8.502,1,0
1967.5,93.01,0,,,8.502,1,0
1967.583333,94.49,0,,,8.502,1,0
1967.666667,95.81,0,,,8.598,1,0
1967.75,95.66,0,,,8.502,1,0
1967.833333,92.66,0,,,8.631,1,0
1967.916667,95.30,0,,,8.502,1,0
1968,95.04,0,,,8.598,1,0
1968.083333,90.75,0,,,8.63,1,0
1968.166667,89.09,0,,,8.598,1,0
1968.25,95.67,0,,,8.534,1,0
1968.333333,97.87,0,,,8.566,1,0
1968.416667,100.50,0,,,8.598,1,0
1968.5,100.30,0,,,8.598,1,0
1968.583333,98.11,0,,,8.695,1,0
1968.666667,101.30,0,,,8.631,1,0
1968.75,103.80,0,,,8.663,1,0
1968.833333,105.40,0,,,8.727,1,0
1968.916667,106.50,0,,,8.631,1,0
1969,102.00,0,,,8.727,1,0
1969.083333,101.50,0,,,8.76,1,0
1969.166667,99.30,0,,,8.888,1,0
1969.25,101.30,0,,,8.985,1,0
1969.333333,104.60,0,,,8.953,1,0
1969.416667,99.14,0,,,9.017,1,0
1969.5,94.71,0,,,8.953,1,0
1969.583333,94.18,0,,,8.953,1,0
1969.666667,94.51,0,,,8.92,1,0
1969.75,95.52,0,,,8.92,1,0
1969.833333,96.21,0,,,8.856,1,0
1969.916667,91.11,0,,,8.92,1,0
1970,90.31,1,,,8.888,1,0
1970.083333,87.16,1,,,8.92,1,0
1970.166667,88.65,1,,,8.759,1,0
1970.25,85.95,1,,,9.114,1,0
1970.333333,76.06,1,,,9.049,1,0
1970.416667,75.59,1,,,8.953,1,0
1970.5,75.72,1,,,9.017,1,0
1970.583333,77.92,1,,,8.856,1,0
1970.666667,82.58,1,,,8.92,1,0
1970.75,84.37,1,,,9.049,1,0
1970.833333,84.28,1,,,9.081,1,0
1970.916667,90.05,0,,,9.146,1,0
1971,93.49,0,,,9.178,1,0
1971.083333,97.11,0,,,9.049,1,0
1971.166667,99.60,0,,,8.985,1,0
1971.25,103.00,0,,,8.856,1,0
1971.333333,101.60,0,,,8.856,1,0
1971.416667,99.72,0,,,8.888,1,0
1971.5,99.00,0,,,8.791,1,0
1971.583333,97.24,0,,,9.146,1,0
1971.666667,99.40,0,,,9.178,1,0
1971.75,97.29,0,,,9.21,1,0
1971.833333,92.78,0,,,9.146,1,0
1971.916667,99.17,0,,,9.178,1,0
1972,103.30,0,,,9.081,1,0
1972.083333,105.20,0,,,9.049,1,0
1972.166667,107.70,0,,,9.049,1,0
1972.25,108.80,0,,,8.953,1,0
1972.333333,107.70,0,,,9.017,1,0
1972.416667,108.00,0,,,8.92,1,0
